"platformname","cyclenumber","sampledirection","datamode","julianday","datadate","qc4date","latitude","longitude","qc4location","creationdate","updatedate"
"6902989","9","A","R","25543.1170","20191208024828","1","-19.382","-177.557","1","20191208032914","20191208032918"
"6902989","10","A","R","25544.1191","20191209025130","1","-19.387","-177.6","1","20191209032540","20191209032544"
"6902989","11","A","R","25545.1163","20191210024728","1","-19.383","-177.611","1","20191210032720","20191210032724"
"6902989","12","A","R","25546.1191","20191211025130","1","-19.376","-177.658","1","20191211033035","20191211033040"
"6902989","13","A","R","25547.1184","20191212025029","1","-19.369","-177.699","1","20191212032559","20191212032605"
"6902989","14","A","R","25548.1233","20191213025733","1","-19.364","-177.739","1","20191213033112","20191213033116"
"6902989","15","A","R","25549.1170","20191214024828","1","-19.367","-177.775","1","20191214032632","20191214032637"
"6902989","16","A","R","25550.1226","20191215025632","1","-19.362","-177.815","1","20191215032746","20191215032751"
"6902989","17","A","R","25551.1191","20191216025130","1","-19.364","-177.845","1","20191216033253","20191216033258"
"6902989","18","A","R","25552.1163","20191217024728","1","-19.378","-177.866","1","20191217032613","20191217032618"
"6902989","19","A","R","25553.1205","20191218025331","1","-19.38","-177.879","1","20191218033040","20191218033046"
"6902989","20","A","R","25554.1260","20191219030126","1","-19.377","-177.882","1","20191219032816","20191219032820"
"6902989","21","A","R","25555.1170","20191220024828","1","-19.362","-177.895","1","20191220032843","20191220032849"
"6902989","22","A","R","25556.1149","20191221024527","1","-19.333","-177.927","1","20191221033031","20191221033036"
"6902989","23","A","R","25557.1233","20191222025733","1","-19.31","-177.911","1","20191222032719","20191222032724"
"6902989","24","A","R","25558.1233","20191223025733","1","-19.281","-177.906","1","20191223033315","20191223033321"
"6902989","25","A","R","25559.1219","20191224025532","1","-19.25","-177.91","1","20191224032730","20191224032735"
"6902989","26","A","R","25560.1191","20191225025130","1","-19.227","-177.916","1","20191225032757","20191225032802"
"6902989","27","A","R","25561.1219","20191226025532","1","-19.218","-177.907","1","20191226033149","20191226033154"
"6902989","28","A","R","25562.1191","20191227025130","1","-19.228","-177.891","1","20191227032611","20191227032616"
"6902989","29","A","R","25563.1191","20191228025130","1","-19.224","-177.881","1","20191228033014","20191228033019"
"6902989","30","A","R","25564.1205","20191229025331","1","-19.235","-177.877","1","20191229032625","20191229032633"
"6903006","71","A","R","25536.3885","20191201091926","1","78.26","8.086","1","20191201130937","20191201130949"
"6903006","72","A","R","25537.3872","20191202091734","1","78.352","7.682","1","20191202102555","20191202102605"
"6903006","73","A","R","25538.3920","20191203092428","1","78.391","7.768","1","20191203102907","20191203102917"
"6903006","74","A","R","25539.3913","20191204092328","1","78.432","7.788","1","20191204102557","20191204102610"
"6903006","75","A","R","25540.3969","20191205093132","1","78.485","7.632","1","20191205103522","20191205103534"
"6903006","76","A","R","25541.3899","20191206092127","1","78.525","7.416","1","20191206102558","20191206102607"
"6903006","77","A","R","25542.3906","20191207092227","1","78.544","7.272","1","20191207102706","20191207102717"
"6903006","78","A","R","25543.3906","20191208092227","1","78.601","6.957","1","20191208102657","20191208102706"
"6903006","79","A","R","25544.3865","20191209091633","1","78.63","6.573","1","20191209102613","20191209102625"
"6903006","80","A","R","25545.3920","20191210092428","1","78.596","6.29","1","20191210102717","20191210102729"
"6903006","81","A","R","25546.3906","20191211092227","1","78.539","6.252","1","20191211103244","20191211103255"
"6903006","82","A","R","25547.3858","20191212091533","1","78.488","6.229","1","20191212102602","20191212102613"
"6903006","83","A","R","25548.3878","20191213091825","1","78.453","6.299","1","20191213102605","20191213102618"
"6903006","84","A","R","25549.3920","20191214092428","1","78.44","6.407","1","20191214102601","20191214102611"
"6903006","85","A","R","25550.3906","20191215092227","1","78.454","6.523","1","20191215103556","20191215103607"
"6903006","86","A","R","25551.3920","20191216092428","1","78.555","6.726","1","20191216102606","20191216102618"
"6903006","87","A","R","25552.3927","20191217092529","1","78.715","7.086","1","20191217103318","20191217103333"
"6903006","88","A","R","25553.3934","20191218092629","1","78.84","7.251","1","20191218102619","20191218102634"
"6903006","89","A","R","25554.3830","20191219091131","1","78.935","6.843","1","20191219102614","20191219102627"
"6903006","90","A","R","25557.3941","20191222092730","1","78.849","5.183","1","20191222102556","20191222102610"
"6903006","91","A","R","25560.3774","20191225090327","1","78.6","6.285","1","20191225092557","20191225092609"
"6903006","92","A","R","25563.3865","20191228091633","1","78.711","6.35","1","20191228102558","20191228102610"
"6903006","93","A","R","25566.3955","20191231092931","1","78.838","5.845","1","20191231102816","20191231102827"
"6903009","71","A","R","25536.3948","20191201092830","1","74.183","12.128","1","20191218092754","20191218092844"
"6903009","72","A","R","25537.3906","20191202092227","1","74.148","12.251","1","20191218092754","20191218092844"
"6903009","73","A","R","25538.3892","20191203092026","1","74.105","12.225","1","20191218092754","20191218092845"
"6903009","74","A","R","25539.3927","20191204092529","1","74.059","12.148","1","20191218092754","20191218092845"
"6903009","75","A","R","25540.3913","20191205092328","1","74.018","11.988","1","20191218092755","20191218092846"
"6903009","76","A","R","25541.3913","20191206092328","1","74.01","11.772","1","20191218092755","20191218092847"
"6903009","77","A","R","25542.3899","20191207092127","1","74.037","11.564","1","20191218092755","20191218092847"
"6903009","78","A","R","25543.3899","20191208092127","1","74.059","11.424","1","20191218092755","20191218092848"
"6903009","79","A","R","25544.3899","20191209092127","1","74.081","11.321","1","20191218092755","20191218092848"
"6903009","80","A","R","25545.3830","20191210091131","1","74.098","11.296","1","20191218092755","20191218092849"
"6903009","81","A","R","25546.3934","20191211092629","1","74.078","11.327","1","20191218092755","20191218092849"
"6903009","82","A","R","25547.3941","20191212092730","1","74.022","11.316","1","20191218092755","20191218092850"
"6903009","83","A","R","25548.4010","20191213093726","1","74.022","11.079","1","20191218092755","20191218092850"
"6903009","84","A","R","25549.3941","20191214092730","1","74.079","10.96","1","20191218092755","20191218092851"
"6903009","85","A","R","25550.3885","20191215091926","1","74.094","10.869","1","20191218092755","20191218092851"
"6903009","86","A","R","25551.3941","20191216092730","1","74.107","10.662","1","20191218092755","20191218092852"
"6903009","87","A","R","25552.3927","20191217092529","1","74.104","10.571","1","20191218092755","20191218092852"
"6903009","88","A","R","25553.3976","20191218093232","1","74.092","10.379","1","20191218102741","20191218102753"
"6903009","89","A","R","25554.3913","20191219092328","1","74.097","10.273","1","20191219103201","20191219103211"
"6903009","90","A","R","25564.3899","20191229092127","1","73.827","9.72","1","20191229102605","20191229102617"
